City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Upernavik,GL,2020-10-30 12:10:03,72.79,-56.15,22.71,96,100,5.41
70,Vestmannaeyjar,IS,2020-10-30 12:10:03,63.44,-20.27,44.6,70,20,16.11
71,Ucluelet,CA,2020-10-30 12:10:04,48.93,-125.55,51.01,89,100,8.01
72,Gull Lake,CA,2020-10-30 12:10:05,50.1,-108.48,35.94,83,46,17.0
73,Santander,ES,2020-10-30 12:10:06,43.46,-3.8,64.99,72,20,2.24
74,Neryungri,RU,2020-10-30 12:08:39,56.67,124.65,11.61,93,91,1.66
75,Tuktoyaktuk,CA,2020-10-30 12:10:07,69.45,-133.04,6.37,94,96,7.09
76,Richards Bay,ZA,2020-10-30 12:10:08,-28.78,32.04,71.1,85,99,15.32
77,Necochea,AR,2020-10-30 12:10:09,-38.55,-58.74,54.0,70,0,4.0
78,Petatlan,MX,2020-10-30 12:10:10,17.52,-101.27,77.95,74,93,2.68
79,Dikson,RU,2020-10-30 12:08:35,73.51,80.55,11.03,95,100,27.22
80,Hobart,AU,2020-10-30 12:05:40,-42.88,147.33,50.0,66,30,4.7
81,San Carlos De Bariloche,AR,2020-10-30 12:05:32,-41.15,-71.31,42.8,56,0,2.24
82,Tuatapere,NZ,2020-10-30 12:09:10,-46.13,167.68,57.0,95,100,3.96
83,Bilibino,RU,2020-10-30 12:08:37,68.05,166.44,3.88,85,100,2.24
84,Valleyview,CA,2020-10-30 12:10:15,55.07,-117.29,32.02,97,100,8.88
85,Butaritari,KI,2020-10-30 12:10:16,3.07,172.79,81.82,78,33,14.5
86,Chuy,UY,2020-10-30 12:10:17,-33.7,-53.46,57.54,72,71,10.0
87,Chokurdakh,RU,2020-10-30 12:08:37,70.63,147.92,1.36,94,99,5.55
88,Cockburn Town,TC,2020-10-30 12:10:19,21.46,-71.14,83.3,77,51,17.05
89,Tocopilla,CL,2020-10-30 12:10:20,-22.09,-70.2,65.75,46,4,7.49
90,Najran,SA,2020-10-30 12:08:44,17.49,44.13,82.4,17,0,6.93
91,Hamilton,US,2020-10-30 12:10:21,39.18,-84.53,43.0,75,90,12.75
92,Meulaboh,ID,2020-10-30 12:10:22,4.14,96.13,79.93,81,85,4.43
93,Douentza,ML,2020-10-30 12:10:23,15.0,-2.95,96.96,10,43,13.56
94,Norman Wells,CA,2020-10-30 12:10:24,65.28,-126.83,6.04,92,15,5.01
95,Leshukonskoye,RU,2020-10-30 12:10:25,64.9,45.76,44.74,88,99,7.61
96,Mar Del Plata,AR,2020-10-30 12:10:25,-38.0,-57.56,50.0,76,0,6.93
97,Ulverstone,AU,2020-10-30 12:10:27,-41.15,146.17,54.0,68,67,8.99
98,Eresos,GR,2020-10-30 12:10:27,39.17,25.93,69.8,68,40,3.36
99,Labuhan,ID,2020-10-30 12:10:28,-6.88,112.21,82.49,79,84,7.49
100,Caravelas,BR,2020-10-30 12:10:29,-17.71,-39.25,82.67,64,80,11.12
101,Lincoln,US,2020-10-30 12:10:30,40.8,-96.67,35.01,81,1,4.65
102,Thompson,CA,2020-10-30 12:10:30,55.74,-97.86,10.89,96,9,4.47
103,Mikhaylovka,RU,2020-10-30 12:10:31,50.06,43.24,49.05,73,100,9.95
104,Tisovec,SK,2020-10-30 12:10:34,48.68,19.94,50.0,61,40,13.87
105,Narsaq,GL,2020-10-30 12:10:35,60.92,-46.05,28.4,74,75,1.12
106,Iqaluit,CA,2020-10-30 12:09:03,63.75,-68.51,1.72,92,79,7.7
107,Tiksi,RU,2020-10-30 12:10:36,71.69,128.87,12.81,96,100,5.86
108,Puerto Ayora,EC,2020-10-30 12:10:37,-0.74,-90.35,66.99,97,89,3.0
109,Saint Anthony,US,2020-10-30 12:10:38,45.02,-93.22,30.99,80,90,2.39
110,Ponta Do Sol,PT,2020-10-30 12:10:39,32.67,-17.1,73.4,69,20,14.99
111,Albany,US,2020-10-30 12:10:39,42.6,-73.97,32.0,89,100,8.39
